,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,-0.4251368976700447,-0.4253147836987232,-0.42540411173000764,-0.4255117948750786,-0.4256758516734967,-0.42581851724295483,-0.42593318485124526,-0.425993511714398,-0.4259996292762241,-0.4259315642623173,-0.42601340889446926,-0.4259523953558219,-0.42588936631816793,-0.42580184075175015,-0.4256980021847356,-0.4255866285381703,-0.425460387610493,-0.42536859995466086,-0.4252799987775077,-0.4250839809762594,-0.42510407221258206,-0.4251950460764547,-0.42538840098393604,-0.4255882517895102,-0.4258079763913908,-0.42601391625002616,-0.42621977399000216,-0.42644936723343785,-0.42666216772715915,-0.4267968945320022,-0.4269271725369701,-0.42704208467100874,-0.4271232138828793,-0.42717377163757136,-0.4272312203733909
11,-0.424852717605657,-0.4249471210538625,-0.42506013409251886,-0.4252299437022623,-0.4253784974010023,-0.42549887641932227,-0.42556468037562817,-0.42557615124169956,-0.42551320760397704,-0.42560087762708154,-0.42554503636274793,-0.4254872912514314,-0.4254049530015575,-0.4253063615521986,-0.4252003336458069,-0.42507917990150557,-0.4249927574388446,-0.42490957924772477,-0.4247186677148651,-0.4247444541510085,-0.4248411364475444,-0.42504031902626915,-0.4252452155454124,-0.4254703272175319,-0.4256809325085351,-0.4258917348962749,-0.4261261680002389,-0.42634308857221337,-0.4264814091378894,-0.42661490211117864,-0.4267326730015949,-0.42681640635665213,-0.42686918959203013,-0.4269281958766247,-0.426980711552715
12,-0.4244842651043153,-0.4246023925310984,-0.4247776576542485,-0.4249319187912591,-0.4250581236836301,-0.42512951368979135,-0.4251463333074757,-0.4250885629763055,-0.42518171675918814,-0.42513134951095244,-0.42507876940184847,-0.42500165068884405,-0.42490820239240484,-0.42480739960288444,-0.4246915491972139,-0.4246103038284835,-0.42453249877729127,-0.4243467160184988,-0.42437820324176845,-0.4244807839246696,-0.42468597244755246,-0.42489672505311604,-0.4251269516230875,-0.4253429144616014,-0.42555839372790844,-0.425797852900194,-0.42601957361955156,-0.42616178967953633,-0.426298869675819,-0.42641981511373483,-0.426506310061107,-0.426561608259798,-0.4266228630069642,-0.426676919249799,-0.42675140635822195
13,-0.42413879599487014,-0.4243192994614688,-0.42447897159757947,-0.4246108225184304,-0.42468791405466666,-0.4247101922833816,-0.4246575924356476,-0.42475627711153713,-0.42471104677956584,-0.4246639321605801,-0.42459191463735685,-0.42450364157757,-0.42440796009668363,-0.42429729285433015,-0.4242214388509946,-0.42414881890538103,-0.4239681175356467,-0.4240053222394663,-0.4241138048555278,-0.42432518650340717,-0.4245419729644469,-0.4247781237018725,-0.42499917221275946,-0.4252200198885052,-0.4254642370913239,-0.42569094421566167,-0.4258377361466143,-0.42597870459087234,-0.4261031962768435,-0.4261927684716586,-0.4262507389992659,-0.42631453131739394,-0.4263708181261736,-0.4264469112379838,-0.4265229755400664
14,-0.423855094751147,-0.42401996138868747,-0.4241571629970183,-0.424239777936495,-0.42426763120024724,-0.4242203131247922,-0.42432452108268603,-0.42428447831631283,-0.42424249269895287,-0.42417587621169667,-0.42409266040024723,-0.42400213193364866,-0.42389654440394303,-0.4238259607197989,-0.4237587391112182,-0.4235829339896648,-0.4236258030356125,-0.42374020217149616,-0.42395777773158505,-0.42418078478499627,-0.4244230366825148,-0.4246499797131726,-0.4248759239871948,-0.4251255898672659,-0.42535701565827555,-0.42550857057734176,-0.4256541071714806,-0.4257824463068045,-0.4258754671674556,-0.4259364254886693,-0.4260029125150563,-0.4260617186602555,-0.4261401068871253,-0.4262177802824577,-0.42626809483770334
15,-0.42355511360483045,-0.42369745029670436,-0.4237852952808142,-0.42381854719636197,-0.42377662881414124,-0.42388646604233154,-0.42385160700564406,-0.4238148004946935,-0.4237532498280268,-0.4236753901978008,-0.42358989687843446,-0.42348942058525635,-0.42342400282166565,-0.4233620584514277,-0.4231913645554363,-0.42323970746527523,-0.4233599679528134,-0.42358374916778074,-0.4238129772288952,-0.4240615162770683,-0.42429453081468005,-0.4245263798375471,-0.4247812222256396,-0.42501805711580676,-0.42517410850778126,-0.4253244001544079,-0.42545726586764826,-0.4255540364949712,-0.42561835365685646,-0.42568785047486146,-0.42574933291603473,-0.42583030463116456,-0.4259102753858808,-0.4259621183741865,-0.42601430710576205
16,-0.4232319096562851,-0.42332477081263503,-0.4233631300722262,-0.4233264374271156,-0.4234420162648858,-0.42341245053943355,-0.42338081891596147,-0.4233243842644928,-0.4232515466629349,-0.42317138624097694,-0.42307590364557135,-0.4230156818336695,-0.42295891017073456,-0.42279320932354514,-0.4228472345187458,-0.42297316412130115,-0.42320309300360526,-0.4234385534286498,-0.42369337934534446,-0.4239326514524105,-0.4241705818925133,-0.4244314078742908,-0.42467338002827054,-0.42483461889272944,-0.4249893993163954,-0.4251269784449459,-0.42522817752428027,-0.42529615444935304,-0.42536903146476024,-0.4254335049696617,-0.42551721686073485,-0.425599773019725,-0.4256538318160711,-0.42570755278627664,-0.4257489338873497
17,-0.422858429537966,-0.4229016840393743,-0.4228699285947735,-0.42299107020882787,-0.42296691390771607,-0.4229405659753598,-0.42288924339432094,-0.4228214778563966,-0.4227463169994942,-0.4226561248667833,-0.42260098044907063,-0.42254941088506326,-0.4223886013645377,-0.42244818491373554,-0.4225799895238999,-0.42281587121207553,-0.42305750567923,-0.4233186290998106,-0.42356415864357694,-0.4238083563023859,-0.4240753417280542,-0.42432325798311854,-0.4244894139268762,-0.4246493733965183,-0.4247914000734342,-0.4248972146124321,-0.42496952939467125,-0.4250460870111778,-0.42511392143606186,-0.42520068783619347,-0.4252859859000214,-0.4253425482743294,-0.42539848791851614,-0.42544136620253625,-0.42544880420952425
18,-0.42243443383954093,-0.422407405928772,-0.42253381738974294,-0.42251489632867745,-0.4224939473753288,-0.42244784556500475,-0.42238514816934214,-0.42231503649229224,-0.4222298025413373,-0.42218002992385517,-0.42213354372660344,-0.421977657219355,-0.4220426916151465,-0.422180245365337,-0.4224222825555377,-0.4226698960011642,-0.42293725792080616,-0.4231890556870419,-0.4234395202361983,-0.42371285010255083,-0.42396688642115826,-0.42413876699229525,-0.4243036353515766,-0.4244507992609457,-0.4245609640944248,-0.42463780383378746,-0.42471871908717157,-0.4247902144360449,-0.42488040449007175,-0.4249687584706317,-0.4250279808280675,-0.42508642655099804,-0.4251314874950608,-0.42514031663130436,-0.4251703153460504
19,-0.42193909386210365,-0.4220705610104786,-0.4220565871539477,-0.4220408630903459,-0.42200009722284615,-0.4219425762926849,-0.42187750963209786,-0.4217972832689617,-0.4217525497647972,-0.4217114399258402,-0.42156036055841295,-0.42163087111843967,-0.42177406452847255,-0.42202212852611737,-0.4222759230782911,-0.4225493278681014,-0.4228073350553827,-0.42306407707614435,-0.4233437502834699,-0.42360409184627934,-0.4237818744270416,-0.4239524583562421,-0.4241044897812249,-0.4242196942089652,-0.42430079444070445,-0.424386253987829,-0.4244620863975335,-0.42455599948725403,-0.424647777980482,-0.42470997412589967,-0.42477108212434667,-0.4248186127937851,-0.42482951749390413,-0.4248609742032276,-0.42487630630258694
